"SuccessRateMapCode","SuccessRateMapCodeDesc","SuccessRateMapCodeDesc2","EffectiveFrom","EffectiveTo"
"B15X0198","Key Skills - Problem Solving - level 5","KeySkl Prob Solving Lev 5","24 Jul 2006",""
"BCSE, PW","GCSE, PW A, area of learning 13","GCSE, PW A, area of Lrn 13","24 Jul 2006","30 Sep 2014"
"BL000001","Attainment level 1 or 2 (non GCSE)","Att Lvl 1 or 2","01 Aug 2018",""
"BUU20032","GCSE","GCSE","24 Jul 2006","30 Sep 2014"
"BUU20142","GCSE Applied Vocational Skills (Her)","GCSE Applied VocSkl (Her)","24 Jul 2006",""
"BUU20143","GCSE Technical and Vocational Studies (30425)","GCSE Tech & Voc Stud (30425)","24 Jul 2006",""
"BUU30060","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"BUU30061","GCE AS Level","GCE AS Lev","24 Jul 2006","30 Sep 2014"
"BUU30062","GCE A2 Level","GCE A2 Lev","24 Jul 2006","30 Sep 2014"
"BUU30162","GCE A Level, CWF A, Programme Area 3","GCE A Lev, CWF A, Prog Area 3","24 Jul 2006",""
"BUUX0220","Diagnostic Test in Numeracy, 3 glh","Diagnostic Test in Num, 3 glh","24 Jul 2006",""
"BXX30050","Key Skills - Communication - level 3","KeySkl Comm Lev 3","01 Feb 2007",""
"BXX30051","Key Skills - Application of Number - level 3","KeySkl App of Num Lev 3","01 Feb 2007",""
"XX","Not Applicable/ Not Known","Not App/ Known","01 Aug 2001",""
